Year,ACC,Big_Ten,Big_12,Pac_12,SEC,Other,Height_IN,Weight_LBS,Wonderlic,40_Yard,Bench_Press,Vert_Leap_IN,Broad_Jump_IN,Shuttle,3Cone,Started
2010,1,0,0,0,0,1,72,214,NA,5.05,NA,30,101,4.29,7.04,No
2010,0,0,0,0,0,1,75,219,22,5.04,NA,33,106,4.33,7.08,No
2010,0,0,0,0,0,1,74.75,236,22,4.71,NA,38.5,115,4.17,6.66,Yes
2009,0,0,0,0,0,1,74.75,225,NA,4.82,26,31.5,111,4.47,7,No
2009,0,0,0,0,1,0,74.25,225,NA,4.7,25,NA,106,4.06,6.91,No
2009,0,0,0,0,1,0,77,220,NA,4.87,NA,28.5,106,4.37,6.93,Yes
2009,0,0,0,0,0,1,72.63,219,NA,4.86,NA,30.5,106,4.44,7.43,No
2009,1,0,0,0,0,0,76.38,235,NA,5.22,NA,26,99,4.59,7.4,No
2009,0,0,0,0,1,0,73.38,226,NA,4.95,NA,26.5,99,NA,NA,No
2009,0,0,1,0,1,0,77.75,248,27,4.9,NA,33.5,119,4.43,7.11,Yes
2009,1,0,0,0,1,0,75,225,NA,4.95,19,30,105,4.49,7.43,No
2009,0,0,1,0,0,0,74.13,223,23,5.07,NA,29.5,98,4.56,7.45,No
2009,0,0,0,0,0,1,76.13,242,NA,5.12,NA,27,108,4.65,7.93,No
2009,0,1,0,0,0,0,74,215,NA,5.02,NA,32,109,4.42,7.1,No
2009,0,0,0,0,0,0,74.88,225,NA,4.61,NA,33,112,4.49,7.34,Yes
2009,0,0,0,0,0,0,75.13,222,NA,NA,NA,NA,NA,NA,NA,Yes
2009,0,1,0,0,0,1,74.88,225,NA,4.87,NA,29,102,4.48,7,Yes
2009,0,0,0,0,0,0,75,214,NA,4.79,NA,30.5,109,4.11,6.76,No
2009,0,0,0,0,0,0,74.13,227,28,4.93,NA,32.5,116,4.21,7.06,Yes
2009,0,0,0,0,0,0,74.25,225,38,4.81,NA,30.5,107,4.47,7.06,Yes
2009,0,0,1,0,0,1,72.25,197,NA,4.55,NA,35,117,4.42,7.06,Yes
2009,0,0,0,0,0,0,75.13,215,NA,4.9,NA,30.5,109,4.45,7.18,No
2009,0,0,0,0,0,0,73.5,219,NA,4.75,NA,29.5,105,4.59,7.53,No
2008,0,0,0,0,0,1,77.5,225,22,5.04,NA,21.5,108,4.6,7.51,No
2008,0,0,0,0,0,1,74.38,218,14,4.93,NA,22.5,99,4.58,NA,No
2008,0,0,0,0,0,0,74.38,207,NA,NA,NA,NA,NA,NA,NA,No
2008,0,0,0,1,0,1,74.25,211,27,5.03,NA,28,112,4.19,7.22,No
2008,1,0,0,0,0,0,74.88,230,32,4.85,NA,30,115,4.55,7.13,Yes
2008,0,0,0,1,0,0,75.25,195,NA,NA,NA,NA,NA,NA,NA,Yes
2008,0,0,0,0,0,0,78.38,236,27,4.86,NA,28.5,110,4.27,6.82,Yes
2008,0,0,0,0,0,0,74.25,231,38,4.81,NA,28,109,4.34,7.21,Yes
2008,0,1,0,0,0,1,74.88,230,22,4.95,NA,25.5,106,4.4,7.17,Yes
2008,0,0,0,0,0,0,74.75,213,24,4.53,16,33.5,110,4.42,7.56,Yes
2008,0,1,0,0,0,1,75.63,241,NA,5.03,NA,24,107,4.35,7.07,No
2008,0,1,0,0,1,0,75.63,231,NA,5.09,16,26.5,108,4.6,7.43,No
2008,0,0,0,0,0,1,75,223,NA,4.77,18,24.5,109,NA,NA,No
