Year,Name,College,POS,ProDay/Combine,Height (in),Weight (lbs),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,Started
2017,Seth Russell,Baylor,QB,Combine,74.88,213,NA,NA,NA,NA,NA,NA,NA,No
2017,Alek Torgersen,Pennsylvania,QB,Both,74.38,230,NA,4.91,NA,30,117,4.31,7.75,No
2017,Patrick Towles,Boston College,QB,ProDay,76.88,241,NA,4.6,NA,33.5,120,4.49,7.29,No
2017,Mitchell Trubisky,North Carolina,QB,Combine,74.13,222,25,4.67,NA,27.5,116,4.25,6.87,Yes
2017,Phillip Walker,Temple,QB,ProDay,71.25,214,NA,4.74,NA,29.5,111,4.4,6.9,No
2017,Deshaun Watson,Clemson,QB,Combine,74.13,221,20,4.66,NA,32.5,119,4.31,6.95,Yes
2017,Davis Webb,California,QB,Combine,76.63,229,25,4.79,NA,33,118,4.21,6.92,No
2016,Vernon Adams,Oregon,QB,Combine,70.88,200,NA,4.83,NA,29.5,114,4.2,6.82,No
2016,Brandon Allen,Arkansas,QB,Combine,73.38,217,NA,4.84,NA,28,110,4.33,7.06,Yes
2016,Trevone Boykin,Texas Christian,QB,Combine,72,212,NA,4.77,NA,32,110,4.4,NA,No
2016,Jacoby Brissett,North Carolina State,QB,Combine,75.75,231,NA,4.94,NA,31,113,4.53,7.17,Yes
2016,Connor Cook,Michigan State,QB,Combine,76,217,NA,4.79,NA,33,113,4.28,7.21,Yes
2016,Brandon Doughty,Western Kentucky,QB,Combine,74.75,213,NA,5.22,NA,27,103,4.52,7.49,No
2016,Jeff Driskel,Louisiana Tech,QB,Combine,76,234,NA,4.56,NA,32,122,4.25,7.19,Yes
2016,Jared Goff,California,QB,Combine,76,215,36,4.82,NA,27,110,4.47,7.17,Yes
2016,Christian Hackenberg,Penn State,QB,Combine,76.38,223,NA,4.78,NA,31,114,4.33,7.04,No
2016,Kevin Hogan,Stanford,QB,Combine,75.25,218,NA,4.78,NA,32.5,113,4.31,6.9,Yes
2016,Cardale Jones,Ohio State,QB,Combine,77,253,NA,4.81,NA,36,NA,NA,NA,Yes
2016,Cody Kessler,Southern California,QB,Combine,73.25,220,NA,4.89,NA,29.5,104,4,7.32,Yes
2016,Paxton Lynch,Memphis,QB,Combine,78.63,244,NA,4.86,NA,36,118,4.26,7.14,Yes
2016,Dak Prescott,Mississippi State,QB,Combine,74.25,226,NA,4.79,NA,32.5,116,4.32,7.11,Yes
2016,Jake Rudock,Michigan,QB,ProDay,75,207,NA,4.88,NA,29,111,4.22,7.09,Yes
2016,Joel Stave,Wisconsin,QB,Combine,77.25,236,NA,4.8,NA,33.5,115,4.33,7.29,No
2016,Chance Stewart,Hillsdale (MI),QB,ProDay,77.25,254,NA,5.2,11,26,100,4.74,7.71,No
2016,Nate Sudfeld,Indiana,QB,Both,78.13,234,NA,4.93,NA,29,105,4.48,7.42,Yes
2016,Carson Wentz,North Dakota State,QB,Combine,77.25,237,29,4.77,NA,30.5,118,4.15,6.86,Yes
2016,Travis Wilson,Utah,QB,ProDay,79.25,232,NA,4.83,NA,31.5,112,4.25,7.05,No
2016,Josh Woodrum,Liberty (VA),QB,Combine,74.88,231,NA,4.8,NA,31,116,4.31,6.74,No
2015,Bryan Bennett,Southeastern Louisiana,QB,Combine,74.25,211,NA,4.81,NA,37,125,4.2,7.13,No
2015,Chris Bonner,Colorado State-Pueblo,QB,Both,78.25,237,NA,5.12,NA,27,101,4.6,7.56,No
2015,Anthony Boone,Duke,QB,Combine,72.25,231,20,5.03,NA,26.5,100,4.62,7.47,No
2015,Brandon Bridge,South Alabama,QB,Combine,76.38,229,NA,4.72,NA,33,110,4.37,7.18,No
2015,Terrance Broadway,Louisiana-Lafayette,QB,Both,72.63,223,NA,4.62,NA,34,120,NA,NA,No
2015,Shane Carden,East Carolina (NC),QB,Combine,73.88,218,25,4.94,NA,29.5,104,4.45,7.17,No
2015,Rakeem Cato,Marshall (WV),QB,Both,72.13,171,NA,4.7,NA,34,113,NA,NA,No
2015,Quinn Epperly,Princeton,QB,Both,73.75,218,NA,4.89,NA,32.5,112,4.32,6.99,No
2015,Cody Fajardo,Nevada,QB,Combine,73.5,223,31,4.63,NA,32.5,118,4.1,6.95,No
2015,Garrett Grayson,Colorado State,QB,Both,74.5,213,20,4.84,NA,34,121,4.35,6.97,Yes
2015,Connore,Boise State,QB,Combine,72,197,26,4.82,NA,27,99,4.56,7.41,No
2012,Brock Osweiler,Arizona State,QB,Combine,78.88,242,25,4.83,NA,NA,NA,NA,NA,Yes
2012,Ryan Tannehill,Texas A&M,QB,Combine,75.88,221,34,4.65,NA,NA,NA,NA,NA,Yes
2012,Darron Thomas,Oregon,QB,Combine,74.63,220,NA,4.77,14,36,121,4.28,7.17,No
2012,Brandon Weeden,Oklahoma State,QB,Both,75.5,221,27,4.89,NA,32,102,4.45,7.36,Yes
20,Alabama,QB,Combine,73.88,220,43,4.84,NA,33,107,4.45,7.11,No
2011,Cam Newton,Auburn,QB,Combine,77,248,21,4.56,NA,35,126,4.18,6.92,Yes
2011,Christian Ponder,Florida State,QB,Combine,74,229,35,4.63,NA,34,116,4.09,6.85,No
2011,Josh Portis,California (PA),QB,Combine,74.88,211,NA,4.59,NA,40,126,4.12,6.84,No
2011,Ricky Stanzi,Iowa,QB,Combine,76.38,223,30,4.87,NA,32.5,110,4.43,6.95,No
2011,Tyrod Taylor,Virginia Tech,QB,Combine,72.75,217,NA,4.47,NA,37.5,126,4.09,6.78,No
2011,Scott Tolzien,Wisconsin,QB,Combine,74,212,NA,4.92,NA,29.5,116,4.12,6.84,No
2011,Jeff Van Camp,Florida Atlantic,QB,Combine,77.25,218,NA,4.83,NA,31,114,4.16,6.87,No
2011,Taylor Yates,North Carolina,QB,Combine,75.38,219,NA,5.06,NA,29.5,104,4.12,6.96,No
2010,Sam Bradford,Oklahoma,QB,Combine,76.25,236,36,4.79,NA,NA,NA,NA,NA,No
2010,Jarrett Brown,West Virginia,QB,Combine,74.88,224,NA,4.5,NA,34.5,114,4.39,7.24,No
2010,Levi Brown,Troy (AL),QB,Combine,75.5,229,NA,4.93,20,31.5,106,4.43,7.07,No
2010,Sean Canfield,Oregon State,QB,Combine,75.75,223,NA,4.93,NA,29.5,100,4.39,7.26,No
2010,Daryll Clark,Penn State,QB,Both,73.88,235,NA,4.72,21,33,116,4.28,6.97,No
2010,Jimmy Clausen,Notre Dame,QB,Combine,74.63,222,23,4.76,NA,NA,NA,NA,NA,No
2010,Jonathan Crompton,Tennessee,QB,ProDay,75.13,222,NA,4.85,NA,31,106,4.34,6.95,No
2010,Max Hall,Brigham Young,QB,Combine,72.63,209,NA,4.84,NA,32,102,4.35,7.07,No
2010,Tim Hiller,Western Michigan,QB,Combine,76,229,NA,4.97,18,32.5,118,4.54,7.1,No
2010,Mike Kafka,Northwestern,QB,Combine,75.13,225,NA,4.93,NA,32,110,4.37,6.96,No
2010,Dan LeFevour,Central Michigan,QB,Combine,75.25,230,NA,4.6,NA,29.5,110,4.22,6.93,No
2010,Thaddeus Lewis,Duke,QB,Combine,72.5,215,NA,4.84,NA,28,107,NA,NA,No
201h,Florida Atlantic,QB,ProDay,77,224,NA,4.83,NA,23,100,4.61,7.04,Yes
2010,Jevan Snead,Mississippi,QB,Combine,75,219,22,5.04,NA,33,106,4.33,7.08,No
2010,Tim Tebow,Florida,QB,Combine,74.75,236,22,4.71,NA,38.5,115,4.17,6.66,Yes
2009,Jason Boltus,Hartwick (NY),QB,Combine,74.75,225,NA,4.82,26,31.5,111,4.47,7,No
2009,Rhett B
